"filename", "language", "YAML", "JSON", "Swift", "Markdown", "XML", "C++", "Dart", "HTML", "CMake", "Java Properties", "comment", "blank", "total"
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\linux\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 104, 0, 0, 25, 129
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\linux\flutter\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 79, 0, 0, 10, 89
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 4, 5, 28
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5, 6, 16
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\linux\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 6, 28
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\linux\runner\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 6, 27
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\linux\runner\main.cc", "C++", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 2, 7
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\linux\runner\my_application.cc", "C++", 0, 0, 0, 0, 0, 91, 0, 0, 0, 0, 25, 29, 145
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\linux\runner\my_application.h", "C++", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 7, 5, 19
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 3, 4, 31
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 2, 4, 13
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 343, 0, 0, 0, 0, 0, 0, 1, 344
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\pubspec.yaml", "YAML", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 12, 96
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\test\widget_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 10, 7, 31
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 15, 5, 39
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\web\manifest.json", "JSON", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\windows\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 89, 0, 0, 20, 109
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\windows\flutter\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 0, 0, 98, 0, 0, 12, 110
"c:\Users\gonca\OneDrive\Desktop\Goncang Samudera\Tugas\pemob\easyhealth\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 4, 5, 24
